ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00648,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0117,,20140121,17479.95,
A00649,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0120,,20140121,17479.95,
A00650,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0121,,20140121,17479.95,
A00651,,,,,,,,,,Missing from inventory
A00652,,,,,,,,,,Missing from inventory
A00653,,,,,,,,,,Missing from inventory
A00654,,,,,,,,,,Missing from inventory
A00655,Sensor,0,ADCP SERIES N (WHLS-6KS-I),TELEDYNE RDI,WHLS-6KS-I,21002,50.4,20140131,83761.5,
A00656,Sensor,0,WAVSS SERIES A (TRIAXYS NW),AXYS Technologies,TRIAXYS NW,5311,1.05.0002,20140204,22660,
A00657,Sensor,0,WAVSS SERIES A (TRIAXYS NW),AXYS Technologies,TRIAXYS NW,5321,1.05.0002,20140204,22660,
A00658,Sensor,0,PCO2W SERIES A (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0079,,20140127,17942.3,
A00659,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0080,,20140127,20208.3,
A00660,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0122,,20140127,17479.95,
A00661,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0118,,20140128,17479.95,
A00662,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0124,,20140128,17479.95,
A00663,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,248,,20140128,13316.36,
A00664,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,249,,20140128,13316.36,
A00665,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,250,,20140128,13316.36,
A00666,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,251,,20140128,13316.36,
A00667,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11609,,20140128,6600,
A00668,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11610,,20140128,6600,
A00669,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11595,,20140128,6600,
A00670,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11594,,20140128,6600,
A00671,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11593,,20140128,6600,
A00672,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11603,,20140128,6600,
A00673,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11611,,20140128,6600,
A00674,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11596,,20140128,6600,
A00675,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11604,,20140128,6600,
A00676,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11605,,20140128,6600,
A00677,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11612,,20140128,6600,
A00678,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11613,,20140128,6600,
A00679,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11534,,20140128,6600,
A00680,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11533,,20140128,6600,
A00681,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11608,,20140128,6600,duplicate ooi_barcode number; Missing from SIO inventory
A00682,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11607,,20140128,6600,
A00683,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11535,,20140128,6600,
A00684,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-11606,,20140128,6600,
A00685,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-11601,,20140128,6600,
A00686,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-11602,,20140128,6600,
A00687,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-11598,,20140128,6600,
A00688,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-11597,,20140128,6600,
A00689,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-11600,,20140128,6600,
A00690,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-11599,,20140128,6600,
A00691,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,264,,20140218,36943.06,
A00692,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,265,,20140218,36943.06,
A00693,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,254,,20140218,13316.72,
A00694,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,255,,20140218,13316.36,
A00695,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1150,,20140218,13013.52,
A00696,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1151,,20140218,13013.52,
A00697,Sensor,0,CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50002,2.5.2,20140218,11500,
A00698,Sensor,0,CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50003,2.5.2,20140218,11500,
A00699,Sensor,0,CTDBP SERIES E (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50004,2.5.2,20150604,11500,
A00700,Sensor,0,CTDBP SERIES D (D-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16-50008,2.5.2,20150604,11500,
A00701,,,WINCH  IR EU,INGERSOLL RAND,WINCH IR EU,24872,,20140217,14855,
A00702,,,WINCH IR EU,INGERSOLL RAND,WINCH IR EU,24873,,20140219,14855,
A00703,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,WND247,,20150604,12250,
A00704,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,WND248,,20140227,12250,
A00705,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH283,,20140227,8050,
A00706,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH281,,20150604,8050,
A00707,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC253,,20150604,8200,
A00708,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC254,,20140227,8200,
A00709,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR283,,20140227,11600,
A00710,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR284,,20140227,11200,
A00711,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR277,,20140227,11200,
A00712,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR278,,20140227,11200,
A00713,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR257,,20140227,7200,
A00714,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR258,,20140227,7200,
A00715,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,37SM,37-11561,,20140227,5816,
A00716,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,37SM,37-11558,,20140227,5816,
A00717,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR243,,20140304,7200,
A00718,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR242,,20140304,7200,
A00719,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR249,,20140305,7200,
A00720,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR254,,20140305,7200,
A00721,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR274,,20140305,11600,
A00722,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR271,,20140305,11600,
A00723,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC244,,20150604,8200,
A00724,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC242,,20140305,8200,
A00725,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND235,,20140307,12250,
A00726,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND237,,20140307,12250,
A00727,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,37SM,37-11092,,20140305,5816,
A00728,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,37SM,37-11091,,20150604,5816,
A00729,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,37SM,37-11093,,20150604,5816,
A00730,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,37SM,37-11090,,20140305,5816,
A00731,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH268,,20140305,8050,
A00732,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH265,,20140305,8050,
A00733,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH264,,20140305,8050,
A00734,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH267,,20140305,8050,
A00735,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR267,,20140307,11200,
A00736,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR262,,20150604,11200,
A00737,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR264,,20140307,11200,
A00738,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR266,,20140307,11200,
A00739,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR267,,20140305,11600,
A00740,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR269,,20150604,11600,
A00741,,,65' STRETCH HOSE,EOM OFFSHORE,241-5-1924,TAS029,,20140311,21470,Missing from inventory
A00742,,,50' STRETCH HOSE,EOM OFFSHORE,171-4-1002,TAS019,,20140311,13129.4,
A00743,,,50' STRETCH HOSE,EOM OFFSHORE,171-4-1002,22,,20140311,13129.4,
A00744,,,50' STRETCH HOSE,EOM OFFSHORE,171-4-1002,24,,20140311,13129.4,
A00745,,,50' STRETCH HOSE,EOM OFFSHORE,171-4-1002,TAS023,,20140311,13129.4,
A00746,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR231,,20140312,11600,
A00747,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC256,,20140312,8200,
A00748,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC255,,20140312,8200,
A00749,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106BPR,BPR256,,20140312,7200,
A00750,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106BPR,BPR259,,20140312,7200,
A00751,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,37SM,37-11559,,20140312,5816,
A00752,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,37SM,37-11560,,20140312,5816,
A00753,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS 102 HRH,HRH284,,20140312,8050,
A00754,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH282,,20140312,8050,
A00755,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR282,,20140312,11600,
A00756,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR276,,20150604,11200,
A00757,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR275,,20140312,11200,
A00758,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101SWND,SWND250,,20140312,12250,
A00759,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101SWND,WND249,,20150604,12250,
A00760,,,"FLOAT, ANCHOR RECOVERY",ENGINEERED SYNTACTIC SYSTEMS,3706-00160,TAS,,20140324,8893.33,
A00761,Sensor,0,PRESF SERIES B (26PLUS),SEA-BIRD ELECTRONICS,26PLUS,26P76848-1387,7.2,20140313,13850,
A00762,Sensor,0,PRESF SERIES C (26PLUS),SEA-BIRD ELECTRONICS,26PLUS,26P76848-1388,7.2,20150604,13850,
A00763,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46285,,20140314,12180,
A00764,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46286,,20150604,12180,
A00765,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46288,,20140314,12180,
A00766,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46289,,20140314,12180,
A00767,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46291,,20150604,12180,
A00768,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46292,,20150604,12180,
A00769,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46293,,20140314,12180,
A00770,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46294,,20150604,12180,
A00771,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46249,,20140314,11070,
A00772,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48495,,20140314,11070,
A00773,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48496,,20140314,11070,
A00774,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48497,,20140314,11070,
A00775,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48498,,20140314,11070,
A00776,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48484,,20150604,11070,
A00777,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48500,,20140314,11070,
A00778,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48501,,20140314,11070,
A00779,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48502,,20140314,11070,
A00780,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48503,,20140314,11070,
A00781,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48504,,20140314,11070,
A00782,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48505,,20140314,11070,
A00783,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48506,,20140314,11070,
A00784,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48507,,20140314,11070,
A00785,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48508,,20140314,11070,
A00786,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48509,,20140314,11070,
A00787,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48510,,20140314,11070,
A00788,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48511,,20140314,11070,
A00789,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46272,,20140314,11070,
A00790,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46273,,20140314,11070,
A00791,,,ACOUSTIC RELEASE,EdgeTech,8242XS,46274,,20140314,11070,
A00792,,,ACOUSTIC RELEASE,EdgeTech,8242XS,48512,,20140314,11070,
A00793,Sensor,0,WAVSS SER A,AXYS Technologies,TRIAXYS NW,5271,,20140130,22660,
A00794,Sensor,0,WAVSS SER A,AXYS Technologies,TRIAXYS NW,5281,,20140130,22660,
A00795,Sensor,0,WAVSS SER A,AXYS Technologies,TRIAXYS NW,5291,,20140130,22660,
A00796,Sensor,0,WAVSS SER A,AXYS Technologies,TRIAXYS NW,5301,,20140130,22660,
A00797,Sensor,0,PHSEN SERIES D(SAMI-PH),Sunburst Sensors,SAMI-PH,P0119,,20140212,17479.95,
A00798,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0083,,20140212,17942.3,
A00799,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0125,,20140220,17479.95,
A00800,Sensor,0,PCO2W SERIES B(SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0082,,20140303,17942.3,
A00801,Node,1,TWR ASSY 4335-1000 GLIDER 1000,TELEDYNE WEBB RESEARCH,CSG-1000,384,,20110628,186935,
A00802,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,291,,20140130,5258.25,
A00803,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,292,,20140130,5258.25,
A00804,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,311,,20140130,5258.25,multiple OSU institute tags
A00805,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,313,,20140130,5258.25,
A00806,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,314,,20140130,5258.25,
A00807,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,315,,20140130,5258.25,
A00808,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,316,,20140130,5258.25,
A00809,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,317,,20140130,5258.25,
A00810,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,62970,,20140331,7500,
A00811,,,TAKEUP MACHINE,REEL O MATIC,HJK3N TAKE UP,1326534,,20140417,20980,
A00812,,,PAY OUT MACHINE,REEL O MATIC,HJ PAYOUT,29905-D14,,20140417,11683.38,
A00813,Sensor,0,PRESF SERIES B (26PLUS),SEA-BIRD ELECTRONICS,26PLUS,26P76848-1386,7.2,20150604,13850,
A00814,,,"FLOAT, ANCHOR RECOVERY",ENGINEERED SYNTACTIC SYSTEMS,3706-00160,TAGONSITE,,20140423,8893.33,
A00815,,,"FLOAT, ANCHOR RECOVERY",ENGINEERED SYNTACTIC SYSTEMS,3706-00160,TAGONSITE,,20140423,8893.33,
A00816,Sensor,0,ADCP SERIES J (WHLS75-1500),TELEDYNE RDI,WHLS75-1500,21496,50.4,20150604,50688,
A00817,,,STRETCH HOSE 100',EOM OFFSHORE,EOM-240-5-3024,TAS012,,20140407,22273.9,
A00818,,,STRETCH HOSE 50',EOM OFFSHORE,OEM-171-4-1002,TAS020,,20140407,13129.4,
A00819,,,STRETCH HOSE 50',EOM OFFSHORE,EOM-171-4-1002,TAS021,,20140407,13159.4,
A00820,,,STRETCH HOSE 50',EOM OFFSHORE,EOM-241-5-1524,TAS008,,20140407,22159.4,
A00821,,,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA,SIM,89-88-169-312-003-910-225,,20130429,0,not on osu list
A00822,,,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA,SIM,89-88-169-312-003-910-233,,20130429,0,not on osu list
A00823,,,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA,SIM,89-88-169-312-003-910-241,,20130429,0,not on osu list
A00824,,,DISA SIM CARD COASTAL SURFACE PIERCING PROFILER,DISA,SIM,89-88-169-312-003-910-258,,20130429,0,not on osu list
A00825,,,BLOCK SNATCH MODIFIED,AW NIEMEYER GMBH,4501369,NA,,20140509,8740.27,
A00826,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63162,,20140331,7500,
A00827,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63163,,20140428,7500,
A00828,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63165,,20140428,7500,
A00829,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63167,,20140428,7500,
A00830,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63161,,20140331,7500,
A00831,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63164,,20140428,7500,
A00832,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63166,,20140428,7500,
A00833,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,63168,,20140428,7500,
A00834,,,MODEM OMNI DIRECTIONAL,TELEDYNE BENTHOS,ATM-916-LF1,62919,,20140327,7500,
A00835,Sensor,0,SENSOR CTD,SEA-BIRD ELECTRONICS,SBE-52-MP,138,,20140128,9966,
A00836,Sensor,0,ACOUSTIC CURRENT METER,FALMOUTH SCIENTIFIC,ACM-PLUS-MP,1131,,20140128,10850,
A00837,Sensor,0,FLUOROMETER,Wet Labs,FLNTURTD,3398,,20140128,6665,UW Claims they have asset
A00838,Sensor,0,FLUOROMETER,Wet Labs,FLCDRTD,3400,,20140128,6665,UW Claims they have asset
A00839,,,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-910-167,,20130320,0,LOST AT SEA
A00840,,,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-910-159,,20150623,0,LOST AT SEA
A00841,,,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-175,,20130320,0,
A00842,,,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-910-183,,20150707,0,LOST AT SEA
A00843,,,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-191,,20130320,0,LOST AT SEA
A00844,,,DISA SIM CARD GLOBAL GLIDER,DISA,,89-88-169-312-003-910-191,,20130320,0,
A00845,,,DISA SIM CARD GLOBAL GLIDER,DISA,SIM,89-88-169-312-003-910-217,,20130320,0,
A00846,Node,0,WFP COASTAL,MCLANE,MMP-7,ML13103-01,,20140128,94082,
A00846.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML13103-01,,20140128,0,LOST AT SEA
A00847,Node,0,WFP COASTAL,MCLANE,MMP-7,ML13103-02,,20140128,94082,
A00847.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML13103-02,,20140128,0,
A00848,Node,0,WFP COASTAL,MCLANE,MMP-7,ML13103-03,,20140128,94082,
A00848.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML13103-03,,20140129,0,
A00849,Node,0,WFP COASTAL,MCLANE,MMP-7,ML13103-04,,20140128,94082,
A00849.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML13103-04,,20140128,0,
A00850,Node,0,WFP COASTAL,MCLANE,MMP-7,ML13103-05,,20140128,94082,
A00850.1,Sensor,0,WFP COASTAL Electronics #1,MCLANE,MMP-7,ML13103-05,,20140128,0,
A00851,Node,1,OPEN OCEAN GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4995,452,,20130422,171901.09,LOST AT SEA
A00852,Node,1,OPEN OCEAN GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4995,453,,20140422,171901.09,
A00853,Sensor,0,ADCP SERIES N (WHLS75-6KS-I),TELEDYNE RDI,WHLS75-6KS-I,21654,50.4,20140530,79353,
A00854,Sensor,0,ADCP SERIES N (WHLS75-6KS-I),TELEDYNE RDI,WHLS75-6KS-I,21638,50.4,20140530,79353,
A00855,Sensor,0,ADCP SERIES N (WHLS75-6KS-I),TELEDYNE RDI,WHLS75-6KS-I,21717,50.4,20140530,79353,
A00856,Sensor,0,ADCP SERIES N (WHLS75-6KS-I),TELEDYNE RDI,WHLS75-6KS-I,21639,50.4,20140530,79353,
A00857,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,269,3.2A,20140611,13316.36,
A00858,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,270,3.2A,20140611,13316.36,
A00859,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,271,3.2A,20150615,13316.36,
A00860,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR-507 with Midrange Bioshutter,272,3.2A,20150604,13316.36,
A00861,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,375,4.7.1,20150615,5258.25,
A00862,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,376,4.7.1,20150604,5258.25,
A00863,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,377,4.7.1,20140618,5258.25,
A00864,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,378,4.7.1,20140618,5258.25,
A00865,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,379,4.7.1,20140618,5258.25,
A00866,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-12189,,20140604,6775,
A00867,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,37IM,37-12190,,20140604,6775,
A00868,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12218,,20140604,6775,
A00869,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12219,,20140604,6775,
A00870,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12220,,20140604,6775,
A00871,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12221,,20140604,6775,
A00872,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12222,,20140604,6775,
A00873,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12223,,20140604,6775,
A00874,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12224,,20140604,6775,
A00875,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12225,,20140604,6775,
A00876,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12226,,20140604,6775,duplicate ooi_barcode number; Missing from SIO inventory
A00877,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,37IM,37-12227,,20140604,6775,
A00878,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,267,3.2.4,20140627,37602.9,
A00879,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,268,3.2.4,20140627,37602.9,
A00880,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,266,3.2.4,20140627,37602.9,
A00881,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,269,3.2.4,20150604,37602.9,
A00882,Sensor,0,CTDMO SERIES Q (37IM),SEA-BIRD ELECTRONICS,37IM,37-12302,,20140627,6775,
A00883,Sensor,0,CTDMO SERIES Q (37IM),SEA-BIRD ELECTRONICS,37IM,37-12303,,20140627,6775,
A00884,Sensor,0,CTDMO SERIES Q (37IM),SEA-BIRD ELECTRONICS,37IM,37-12304,,20140627,6775,
